"tusk","year_conc","year","age","age_conc"
"841",NA,1974,0,NA
"841",NA,1975,1,NA
"841",NA,1976,2,NA
"841",NA,1977,3,NA
"841",NA,1978,4,NA
"841",NA,1979,5,NA
"841",NA,1980,6,NA
"841",NA,1981,7,NA
"841",NA,1982,8,NA
"841",NA,1983,9,NA
"841",NA,1984,10,NA
"841",NA,1985,11,NA
"841",NA,1986,12,NA
"841",NA,1987,13,NA
"841",NA,1988,14,NA
"841",NA,1989,15,NA
"841",NA,1990,16,NA
"841",NA,1991,17,NA
"841",NA,1992,18,NA
"841",NA,1993,19,NA
"841",NA,1994,20,NA
"841",NA,1995,21,NA
"841",NA,1996,22,NA
"841",NA,1997,23,NA
"841",NA,1998,24,NA
"841",NA,1999,25,NA
"841",NA,2000,26,NA
"841",NA,2001,27,NA
"841",NA,2002,28,NA
"841",NA,2003,29,NA
"841",NA,2004,30,NA
"841",NA,2005,31,NA
"841",NA,2006,32,NA
"841",NA,2007,33,NA
"841",NA,2008,34,NA
"888",NA,1989,0,NA
"888",NA,1990,1,NA
"888",NA,1991,2,NA
"888",NA,1992,3,NA
"888",NA,1993,4,NA
"888",NA,1994,5,NA
"888",NA,1995,6,NA
"888",NA,1996,7,NA
"888",NA,1997,8,NA
"888",NA,1998,9,NA
"888",NA,1999,10,NA
"888",NA,2000,11,NA
"888",NA,2001,12,NA
"888",NA,2002,13,NA
"888",NA,2003,14,NA
"888",NA,2004,15,NA
"888",NA,2005,16,NA
"888",NA,2006,17,NA
"888",NA,2007,18,NA
"888",NA,2008,19,NA
"888",NA,2009,20,NA
"925",NA,1970,0,NA
"925",NA,1971,1,NA
"925",NA,1972,2,NA
"925",NA,1973,3,NA
"925",NA,1974,4,NA
"925",NA,1975,5,NA
"925",NA,1976,6,NA
"925",NA,1977,7,NA
"925",NA,1978,8,NA
"925",NA,1979,9,NA
"925",NA,1980,10,NA
"925",NA,1981,11,NA
"925",NA,1982,12,NA
"925",NA,1983,13,NA
"925",NA,1984,14,NA
"925",NA,1985,15,NA
"925",NA,1986,16,NA
"925",NA,1987,17,NA
"925",NA,1988,18,NA
"925",NA,1989,19,NA
"925",NA,1990,20,NA
"925",NA,1991,21,NA
"925",NA,1992,22,NA
"925",NA,1993,23,NA
"925",NA,1994,24,NA
"925",NA,1995,25,NA
"925",NA,1996,26,NA
"925",NA,1997,27,NA
"925",NA,1998,28,NA
"925",NA,1999,29,NA
"925",NA,2000,30,NA
"925",NA,2001,31,NA
"925",NA,2002,32,NA
"925",NA,2003,33,NA
"925",NA,2004,34,NA
"925",NA,2005,35,NA
"925",NA,2006,36,NA
"925",NA,2007,37,NA
"925",NA,2008,38,NA
"925",NA,2009,39,NA
"925",NA,2010,40,NA
"925",NA,2011,41,NA
"925",NA,2012,42,NA
"925",NA,2013,43,NA
"925",NA,2014,44,NA
"925",NA,2015,45,NA
"925",NA,2016,46,NA
"929",NA,1981,0,NA
"929",NA,1982,1,NA
"929",NA,1983,2,NA
"929",NA,1984,3,NA
"929",NA,1985,4,NA
"929",NA,1986,5,NA
"929",NA,1987,6,NA
"929",NA,1988,7,NA
"929",NA,1989,8,NA
"929",NA,1990,9,NA
"929",NA,1991,10,NA
"929",NA,1992,11,NA
"929",NA,1993,12,NA
"929",NA,1994,13,NA
"929",NA,1995,14,NA
"929",NA,1996,15,NA
"929",NA,1997,16,NA
"929",NA,1998,17,NA
"929",NA,1999,18,NA
"929",NA,2000,19,NA
"929",NA,2001,20,NA
"929",NA,2002,21,NA
"929",NA,2003,22,NA
"929",NA,2004,23,NA
"929",NA,2005,24,NA
"929",NA,2006,25,NA
"929",NA,2007,26,NA
"929",NA,2008,27,NA
"929",NA,2009,28,NA
"929",NA,2010,29,NA
"929",NA,2011,30,NA
"929",NA,2012,31,NA
"929",NA,2013,32,NA
"929",NA,2014,33,NA
"929",NA,2015,34,NA
"929",NA,2016,35,NA
"938",NA,1975,4,NA
"938",NA,1976,5,NA
"938",NA,1977,6,NA
"938",NA,1978,7,NA
"938",NA,1979,8,NA
"938",NA,1980,9,NA
"938",NA,1981,10,NA
"938",NA,1982,11,NA
"938",NA,1983,12,NA
"938",NA,1984,13,NA
"938",NA,1985,14,NA
"938",NA,1986,15,NA
"938",NA,1987,16,NA
"938",NA,1988,17,NA
"938",NA,1989,18,NA
"938",NA,1990,19,NA
"938",NA,1991,20,NA
"938",NA,1992,21,NA
"938",NA,1993,22,NA
"938",NA,1994,23,NA
"938",NA,1995,24,NA
"938",NA,1996,25,NA
"938",NA,1997,26,NA
"938",NA,1998,27,NA
"938",NA,1999,28,NA
"938",NA,2000,29,NA
"938",NA,2001,30,NA
"938",NA,2002,31,NA
"938",NA,2003,32,NA
"938",NA,2004,33,NA
"938",NA,2005,34,NA
"938",NA,2006,35,NA
"938",NA,2007,36,NA
"938",NA,2008,37,NA
"938",NA,2009,38,NA
"938",NA,2010,39,NA
"938",NA,2011,40,NA
"938",NA,2012,41,NA
"938",NA,2013,42,NA
"938",NA,2014,43,NA
